codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,FURNISHED,POOL,ELEVATOR,LAVABO,SAUNA,PORCELAIN,INTERCOM,AIR_CONDITIONING,numberOfSuites,PETS_ALLOWED,BALCONY,BACKYARD,SPORTS_COURT,BARBECUE_GRILL,LAUNDRY,ALARM_SYSTEM,SERVICE_AREA,GARDEN,DEPOSIT,PLAYGROUND,SEA_VIEW,GOURMET_BALCONY,KITCHEN,PARTY_HALL,CABLE_TV,KITCHEN_CABINETS,SAFETY_CIRCUIT,GATED_COMMUNITY,HEATING,CONCIERGE_24H,WATCHMAN,GOURMET_SPACE,GYM,BICYCLES_PLACE,DINNER_ROOM,PAVED_STREET,RECEPTION,CLOSET,CARETAKER,ARMORED_SECURITY_CABIN,RECREATION_AREA,ELECTRONIC_GATE,INTERNET_ACCESS,BLINDEX_BOX,BEDROOM_WARDROBE,BATHROOM_CABINETS,DISABLED_ACCESS,HOME_OFFICE,SPA,TENNIS_COURT,INDOOR_SOCCER,MOUNTAIN_VIEW,CHILDRENS_POOL,DECK,MASSAGE_ROOM,GRASS,CINEMA,SQUASH,COPA,AMERICAN_KITCHEN,ELECTRIC_GENERATOR,TOYS_PLACE,PANTRY,BAR,FIREPLACE,GAMES_ROOM,WALL_BALCONY,PLANNED_FURNITURE,ALUMINUM_WINDOW,NATURAL_VENTILATION,LARGE_WINDOW,EMPLOYEE_DEPENDENCY,ENTRANCE_HALL,SERVICE_BATHROOM,INTEGRATED_ENVIRONMENTS,HIGH_CEILING_HEIGHT,LARGE_ROOM,COLD_FLOOR,WHIRLPOOL,BARBECUE_BALCONY,BUILTIN_WARDROBE,SQUARE,HEATED_POOL,TEEN_SPACE,SERVICE_ROOM,STAIR,FULL_FLOOR,FITNESS_ROOM,LARGE_KITCHEN,PANORAMIC_VIEW,PLATED_GAS,LAMINATED_FLOOR,ADULT_POOL,GREEN_SPACE,PIZZA_OVEN,BEAUTY_CENTER,SECURITY_CAMERA,SECURITY_CABIN,COWORKING,COOKER,SOLARIUM,FOOTBALL_FIELD,GOURMET_KITCHEN,BATHTUB,SANCA,PET_SPACE,SERVICE_ENTRANCE,PRIVATE_POOL,DIGITAL_LOCKER,WOOD_FLOOR,VALET_PARKING,PARKING,MEZZANINE,LUNCH_ROOM,PATROL,GLASS_WALL,SMALL_ROOM,CORNER_PROPERTY,ADMINISTRATION,GAS_SHOWER,MEETING_ROOM,MASSAGE,TREE_CLIMBING,LIBRARY,HIKING_TRAIL,SMART_CONDOMINIUM,POOL_BAR,RESTAURANT,COVENTION_HALL,SOUNDPROOFING,SIDE_ENTRANCE,ZEN_SPACE,REDARIO,HALF_FLOOR,COVERED_POOL,GUEST_PARKING,REVERSIBLE_ROOM,STORES,BEAUTY_ROOM,COVERAGE,ELETRIC_CHARGER,SEMI_OLYMPIC_POOL,ECO_GARBAGE_COLLECTOR,VINYL_FLOOR,SLAB,LAKE_VIEW,FRUIT_TREES,HOT_TUB,THERMAL_INSULATION,DIVIDERS,WALLS_GRIDS,FREEZER
AP6730,2688030535,03/02/2024,29/05/2025,Mais Imóveis Santos,R$ 2.650.000,R$ 2.200,R$ 667,"Avenida Coronel Joaquim Montenegro - Aparecida, Santos - SP",180 m²,3 quartos,4 banheiros,3 vagas,11 andar,Mobiliado,Piscina,Elevador,Lavabo,Sauna,Porcelanato,Interfone,Ar-condicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP14313,2756573916,13/11/2024,29/05/2025,R3 Imóveis,R$ 3.720.000,R$ 1.945,R$ 945,"Avenida Doutor Epitácio Pessoa, 131 - Embaré, Santos - SP",204 m²,3 quartos,5 banheiros,3 vagas,31 andar,,Piscina,Elevador,Lavabo,,Porcelanato,Interfone,Ar-condicionado,3 suítes,Aceita animais,Varanda,Quintal,Quadra poliesportiva,Churrasqueira,Lavanderia,Sistema de alarme,Área de serviço,Jardim,Depósito,Playground,Vista para o mar,Varanda gourmet,Cozinha,Salão de festas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP04984,2806818830,16/05/2025,29/05/2025,Ricci Consultoria Imobiliaria,R$ 430.000,R$ 585,R$ 138,"Rua Pará - Campo Grande, Santos - SP",81 m²,3 quartos,1 banheiro,1 vaga,1 andar,Mobiliado,,,,,,Interfone,,,Aceita animais,,,,,,,,,,,,,,,TV à cabo,Armário na cozinha,Circuito de segurança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP1553,2753129101,31/10/2024,29/05/2025,Alabi Negócios Imobiliários,R$ 778.000,R$ 970,R$ 200,"Rua 1º de Maio, 95 - Aparecida, Santos - SP",111 m²,3 quartos,2 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,,1 suíte,Aceita animais,Varanda,,,,,Sistema de alarme,Área de serviço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32507,2781518837,24/02/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 350.000,R$ 400,R$ 250,"Macuco, Santos - SP",36 m²,1 quarto,1 banheiro,,,,,Elevador,,,,Interfone,,,,,,,Churrasqueira,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,Aquecimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12993,2580317206,14/09/2022,29/05/2025,Invista Inteligência Imobiliária,R$ 715.000,R$ 1.389,R$ 284,"Embaré, Santos - SP",130 m²,3 quartos,3 banheiros,1 vaga,1 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,Área de serviço,,,,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149,2672208614,27/11/2023,29/05/2025,Familia Imoveis Consultoria,R$ 2.300.000,R$ 2.000,R$ 1.004,"Rua Machado de Assis - Boqueirão, Santos - SP",204 m²,4 quartos,5 banheiros,3 vagas,19 andar,,,Elevador,,,,Interfone,Ar-condicionado,3 suítes,,Varanda,,,Churrasqueira,,,,Jardim,,Playground,,Varanda gourmet,Cozinha,Salão de festas,,,,Condomínio fechado,,,,Espaço gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9344,2791001834,26/03/2025,29/05/2025,Prime Santos,R$ 955.900,R$ 700,R$ 370,"Avenida Presidente Wilson - José Menino, Santos - SP",64 m²,2 quartos,2 banheiros,1 vaga,13 andar,,Piscina,Elevador,,,,Interfone,,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,,Área de serviço,,,,,,Cozinha,Salão de festas,,,Circuito de segurança,Condomínio fechado,Aquecimento,,,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP09051,2730851321,26/07/2024,29/05/2025,Duarte Prime Brokers,R$ 1.270.000,R$ 2.803,R$ 209,"Rua Goiás - Boqueirão, Santos - SP",105 m²,3 quartos,3 banheiros,2 vagas,1 andar,,,Elevador,,,,Interfone,Ar-condicionado,2 suítes,Aceita animais,,,,,,,,,,,,,,,,Armário na cozinha,,,,Portaria 24h,,,,Bicicletário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9044,2802096220,30/04/2025,29/05/2025,Malavasi Imoveis,R$ 670.000,R$ 1.570,R$ 309,"Rua Alexandre Herculano - Boqueirão, Santos - SP",195 m²,3 quartos,3 banheiros,1 vaga,,,,Elevador,,,,Interfone,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,Sala de jantar,Rua asfaltada,Recepção,Closet,Zelador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
