codigo_anunciante,codigo_zapimoveis,dtColeta,imobiliaria,nrPreco,nrCondominio,nrIptu,endereco,nrArea(m2),nrQuartos,nrBanheiros,nrVagas,nrAndar,FURNISHED,POOL,nrSuites,Elevador,Lavabo,Sauna,Porcelanato,Interfone,Ar-condicionado,Aceita animais,Varanda,Quintal,Quadra poliesportiva,Churrasqueira,Lavanderia,Sistema de alarme,Área de serviço,Jardim,Depósito,Playground,Vista para o mar,Varanda gourmet,Cozinha,Salão de festas,TV à cabo,Armário na cozinha,Circuito de segurança,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,Espaço gourmet,Academia,Bicicletário,Sala de jantar,Rua asfaltada,Recepção,Closet,Zelador,Guarita blindada,Área de lazer,Portão eletrônico,Conexão à internet,Box blindex,Armário embutido no quarto,Armário no banheiro,Acesso para deficientes,Escritório,Spa,Quadra de tênis,Quadra de futebol de salão,Vista para a montanha,Piscina infantil,Deck,Sala de massagem,Gramado,Cinema,Quadra de squash,Copa,Cozinha americana,Gerador elétrico,Brinquedoteca,Despensa,Bar,Lareira,Salão de jogos,Varanda fechada com vidro,Móvel planejado,Janela de alumínio,Ventilação natural,Janela grande,Dependência de empregados,Hall de entrada,Banheiro de serviço,Ambientes integrados,Pé direito alto,Sala grande,Piso frio,Hidromassagem,Churrasqueira na varanda,Armário embutido,Praça,Piscina aquecida,Espaço teen,Quarto de serviço,Escada,Andar inteiro,Espaço fitness,Cozinha grande,Vista panorâmica,Gás Encanado,Piso laminado,Piscina para adulto,Espaço verde / Parque,Forno de pizza,Centro de estética,Câmera de segurança,Guarita,Coworking,Fogão,Solarium,Campo de futebol,Cozinha gourmet,Banheira,Gesso - Sanca - Teto Rebaixado,Espaço Pet,Entrada de serviço,Piscina privativa,Fechadura digital,Piso de madeira,Manobrista,Estacionamento,Mezanino,Sala de almoço,Ronda/Vigilância,Muro de vidro,Sala pequena,Imóvel de esquina,Administração,Chuveiro a gás,Sala de reunião,Sala de massagem,Arvorismo,Biblioteca,Pista de cooper,Condomínio inteligente,Bar na piscina,Restaurante,Salão de convenção,Isolamento acústico,Entrada lateral,Espaço zen,Redario,Meio andar,Piscina coberta,Estacionamento para visitantes,Quarto extra reversível,Loja,Espaço de beleza,Cobertura coletiva,Carregador eletrônico para carro e bicicleta,Piscina semi-olímpica,Coleta seletiva de lixo,Piso vinílico,Laje,Vista para lago,Árvore frutífera,Ofurô,Isolamento térmico,Possui divisória,Muro e grade,Freezer,valor_por_m2,nrQtdComodidades,bairro
AP6730,2688030535,29/05/2025,Mais Imóveis Santos,2650000,2200,667,"Avenida Coronel Joaquim Montenegro - Aparecida, Santos - SP",180,3,4,3,11,Mobiliado,Piscina,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14722.222222222223,6,Aparecida
AP14313,2756573916,29/05/2025,R3 Imóveis,3720000,1945,945,"Avenida Doutor Epitácio Pessoa, 131 - Embaré, Santos - SP",204,3,5,3,3,0,Piscina,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18235.29411764706,23,Embaré
AP04984,2806818830,29/05/2025,Ricci Consultoria Imobiliaria,430000,585,138,"Rua Pará - Campo Grande, Santos - SP",81,3,1,1,1,Mobiliado,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5308.641975308642,5,Campo Grande
AP1553,2753129101,29/05/2025,Alabi Negócios Imobiliários,778000,970,200,"Rua 1º de Maio, 95 - Aparecida, Santos - SP",111,3,2,1,3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7009.009009009009,7,Aparecida
32507,2781518837,29/05/2025,Invista Inteligência Imobiliária,350000,400,250,"Macuco, Santos - SP",36,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9722.222222222223,7,Macuco
12993,2580317206,29/05/2025,Invista Inteligência Imobiliária,715000,1389,284,"Embaré, Santos - SP",130,3,3,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500.0,10,Embaré
11149,2672208614,29/05/2025,Familia Imoveis Consultoria,2300000,2000,1004,"Rua Machado de Assis - Boqueirão, Santos - SP",204,4,5,3,19,0,0,3,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11274.509803921568,15,Boqueirão
9344,2791001834,29/05/2025,Prime Santos,955900,700,370,"Avenida Presidente Wilson - José Menino, Santos - SP",64,2,2,1,13,0,Piscina,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14935.9375,13,José Menino
AP09051,2730851321,29/05/2025,Duarte Prime Brokers,1270000,2803,209,"Rua Goiás - Boqueirão, Santos - SP",105,3,3,2,1,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12095.238095238095,9,Boqueirão
9044,2802096220,29/05/2025,Malavasi Imoveis,670000,1570,309,"Rua Alexandre Herculano - Boqueirão, Santos - SP",195,3,3,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435.897435897436,12,Boqueirão
